prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
tirzepatide,trending,study,MENTAL DISORDER,18,28223,3008,1378038,60.63865344674293,28241,3026,1409287,0.3007,0.3002,0.1901,0.4743,29.9458,4.442828993768892e-08,1.2066235989337352e-07,True,0.2972,0.1988,0.4306,-1.7246,-2.3911,0,False,None
tirzepatide,trending,study,MENTAL IMPAIRMENT,5,28236,1505,1379541,30.259209089418977,28241,1510,1409287,0.1786,0.1785,0.0773,0.4123,20.6954,5.38465146121349e-06,1.2872546037746997e-05,True,0.1665,0.0764,0.3262,-2.4835,-3.7481,0,False,None
tirzepatide,trending,study,MENTAL STATUS CHANGES,5,28236,1304,1379742,26.23132761460228,28241,1309,1409287,0.2062,0.206,0.0892,0.4761,16.7351,4.297799946884711e-05,9.534147874349448e-05,True,0.192,0.088,0.3761,-2.281,-3.5456,0,False,None
tirzepatide,trending,study,METABOLIC ACIDOSIS,6,28235,1893,1379153,38.05446229192492,28241,1899,1409287,0.1679,0.1677,0.0776,0.3622,26.7358,2.3326182021509827e-07,6.082043217558246e-07,True,0.1587,0.078,0.2947,-2.5684,-3.7228,0,False,None
tirzepatide,trending,study,METABOLIC DISORDER,3,28238,282,1380764,5.711175225486363,28241,285,1409287,0.6058,0.6058,0.2111,1.7384,0.8738,0.3499121463840248,0.4360966758905252,False,0.5275,0.1912,1.2241,-0.8275,-2.4601,0,False,None
tirzepatide,trending,study,METASTASES TO LIVER,3,28238,1123,1379923,22.56415194350051,28241,1126,1409287,0.1523,0.1522,0.0533,0.4348,16.4496,4.996166152447697e-05,0.00011027001458716675,True,0.1351,0.049,0.3135,-2.7202,-4.3528,0,False,None
tirzepatide,trending,study,MICTURITION URGENCY,4,28237,792,1380254,15.951212208726824,28241,796,1409287,0.2777,0.2776,0.1099,0.7011,8.3936,0.0037655387926736074,0.006784961787434121,True,0.2529,0.1054,0.5314,-1.8702,-3.284,0,False,None
tirzepatide,trending,study,MIDDLE INSOMNIA,8,28233,1864,1379182,37.51340358635253,28241,1872,1409287,0.2229,0.2227,0.1135,0.4369,22.9287,1.6812268793705812e-06,4.146838874701685e-06,True,0.2141,0.1162,0.3684,-2.161,-3.1607,0,False,None
tirzepatide,trending,study,MIGRAINE,76,28165,7623,1373423,154.28188793340178,28241,7699,1409287,0.4907,0.4893,0.3905,0.6131,40.2358,2.2508811601158864e-10,6.952983688316089e-10,True,0.4926,0.4065,0.5926,-1.0167,-1.3411,0,False,None
tirzepatide,trending,study,MOBILITY DECREASED,50,28191,5765,1375281,116.5280138112393,28241,5815,1409287,0.4283,0.4273,0.3238,0.5638,38.3366,5.953677895523808e-10,1.7958435369933777e-09,True,0.4292,0.3383,0.5383,-1.2125,-1.6124,0,False,None
tirzepatide,trending,study,MOOD ALTERED,16,28225,1634,1379412,33.06469867386842,28241,1650,1409287,0.4936,0.4933,0.3037,0.8014,8.4782,0.0035943170410014484,0.006497876744058263,True,0.4841,0.3158,0.7165,-1.0245,-1.7314,0,False,None
tirzepatide,trending,study,MOOD SWINGS,8,28233,1317,1379729,26.551954995682213,28241,1325,1409287,0.3155,0.3153,0.1606,0.6189,12.5358,0.00039923025309927064,0.0008103269895712457,True,0.3022,0.164,0.52,-1.6702,-2.6699,0,False,None
tirzepatide,trending,study,MORNING SICKNESS,3,28238,87,1380959,1.8035290185746409,28241,90,1409287,1.956,1.9561,0.672,5.6942,0.2745,0.6003459306884367,0.6894886301996762,False,1.6162,0.5859,3.7509,0.6035,-1.0291,0,False,None
tirzepatide,trending,study,MOTION SICKNESS,7,28234,137,1380909,2.8856464297194253,28241,144,1409287,2.6673,2.6677,1.2791,5.5638,4.6201,0.03159891455150562,0.04947813053447005,True,2.3703,1.2311,4.2209,1.1475,0.0787,3,False,None
tirzepatide,trending,study,MOVEMENT DISORDER,3,28238,2201,1378845,44.166421743761205,28241,2204,1409287,0.0777,0.0776,0.0272,0.2215,38.2693,6.162394858081391e-10,1.8584200400061446e-09,True,0.0691,0.0251,0.1605,-3.6738,-5.3063,0,False,None
tirzepatide,trending,study,MULTIPLE ALLERGIES,9,28232,987,1380059,19.959054472226025,28241,996,1409287,0.4704,0.4703,0.2482,0.891,5.5968,0.017992858010477304,0.02939032731500999,True,0.4514,0.254,0.7547,-1.1067,-2.0493,0,False,None
tirzepatide,trending,study,MULTIPLE ORGAN DYSFUNCTION SYNDROME,5,28236,2656,1378390,53.324341315856884,28241,2661,1409287,0.1012,0.1011,0.0438,0.2333,43.8515,3.542568390033027e-11,1.1354385865490472e-10,True,0.0946,0.0434,0.1854,-3.2908,-4.5553,0,False,None
tirzepatide,trending,study,MULTIPLE SCLEROSIS,5,28236,3320,1377726,66.63037763067423,28241,3325,1409287,0.081,0.0808,0.035,0.1866,57.3666,3.616992029885713e-14,1.3031419746168603e-13,True,0.0758,0.0347,0.1484,-3.6095,-4.874,0,False,None
tirzepatide,trending,study,MUSCLE ATROPHY,36,28205,1047,1379999,21.70246585684818,28241,1083,1409287,1.7039,1.7048,1.2254,2.3719,8.9582,0.0027623224209452745,0.0050683238846800345,True,1.6542,1.2483,2.1579,0.7172,0.2459,2,False,None
tirzepatide,trending,study,MUSCLE SPASMS,88,28153,11684,1369362,235.90159562956305,28241,11772,1409287,0.3704,0.3684,0.2988,0.4542,94.778,2.1297435774579165e-22,9.749757221447631e-22,True,0.3731,0.3121,0.4431,-1.4175,-1.7189,0,False,None
tirzepatide,trending,study,MUSCLE STRAIN,8,28233,661,1380385,13.406232371404831,28241,669,1409287,0.6284,0.6282,0.3193,1.236,1.8331,0.175761409306511,0.23729801256485467,False,0.5966,0.3237,1.0265,-0.7102,-1.7099,0,False,None
tirzepatide,trending,study,MUSCLE TIGHTNESS,5,28236,982,1380064,19.77870157036856,28241,987,1409287,0.2737,0.2736,0.1183,0.6326,10.5263,0.0011768839829096633,0.002262943390420745,True,0.2544,0.1166,0.4983,-1.8825,-3.147,0,False,None
tirzepatide,trending,study,MUSCLE TWITCHING,9,28232,1322,1379724,26.67219026358719,28241,1331,1409287,0.3513,0.3511,0.1854,0.6646,11.2926,0.0007781616853914962,0.0015314055849932715,True,0.3382,0.1903,0.5654,-1.5161,-2.4587,0,False,None
tirzepatide,trending,study,MUSCULAR WEAKNESS,39,28202,8002,1373044,161.13529820398543,28241,8041,1409287,0.2414,0.2403,0.1758,0.3286,94.2334,2.8042677790024484e-22,1.2805866792658241e-21,True,0.2422,0.1848,0.3128,-2.0328,-2.4856,0,False,None
tirzepatide,trending,study,MUSCULOSKELETAL CHEST PAIN,17,28224,1200,1379846,24.387720173392644,28241,1217,1409287,0.7128,0.7127,0.4445,1.1426,1.9868,0.15867964042956145,0.216334660905447,False,0.6965,0.4604,1.0196,-0.5081,-1.1939,0,False,None
tirzepatide,trending,study,MUSCULOSKELETAL DISCOMFORT,9,28232,1384,1379662,27.91462136527194,28241,1393,1409287,0.3355,0.3353,0.1771,0.6348,12.4084,0.0004274144347362563,0.000865389555574438,True,0.3232,0.1818,0.5403,-1.5806,-2.5232,0,False,None
tirzepatide,trending,study,MUSCULOSKELETAL PAIN,6,28235,1705,1379341,34.287090564235676,28241,1711,1409287,0.1864,0.1862,0.0862,0.4022,23.0078,1.6134847609992135e-06,3.987083301179159e-06,True,0.1761,0.0866,0.327,-2.42,-3.5744,0,False,None
